Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
31,1.128,0.009,0.28253,94.7258,99.5911,5e-09
32,1.093,0.003,0.27902,95.2396,99.6225,5e-09
33,1.084,0.003,0.28359,94.8831,99.6225,5e-09
34,1.078,0.003,0.28033,94.9775,99.5491,5e-09
35,1.079,0.003,0.28768,94.7153,99.5701,5e-09
36,1.075,0.003,0.27811,95.2501,99.5806,5e-09
37,1.074,0.003,0.28527,94.9775,99.5282,5e-09
38,1.091,0.003,0.27523,94.9879,99.5911,5e-09
39,1.093,0.003,0.27327,95.0928,99.6225,5e-09
31,1.107,0.013,0.22719,96.9382,99.8217,5e-09
32,1.109,0.013,0.22765,97.0116,99.7798,5e-09
33,1.134,0.01,0.23322,96.5608,99.7588,5e-09
34,1.081,0.011,0.23046,96.76,99.8532,5e-09
35,1.096,0.01,0.22841,96.8019,99.8217,5e-09
36,1.087,0.009,0.2313,96.718,99.7903,5e-09
37,1.082,0.009,0.23031,96.9068,99.7588,5e-09
38,1.083,0.01,0.23339,96.8963,99.8427,5e-09
39,1.082,0.009,0.23388,96.8648,99.7798,5e-09
31,1.1,0.008,0.22783,96.9487,99.8427,5e-09
31,1.102,0.009,0.23296,96.7705,99.8113,5e-09
31,1.099,0.009,0.23075,96.7914,99.7798,5e-09
32,1.088,0.008,0.23375,96.4454,99.8113,5e-09
33,1.089,0.009,0.22307,97.106,99.8637,5e-09
34,1.088,0.008,0.22807,96.8648,99.8113,5e-09
31,1.09,0.013,0.23061,96.9173,99.8637,5e-09
32,1.081,0.014,0.23262,96.7495,99.8008,5e-09
33,1.078,0.012,0.23288,96.6866,99.7903,5e-09
34,1.078,0.011,0.23066,96.8753,99.8217,5e-09
